Sample Number,Site ID,Target,"UTM East
NAD83_U10","UTM North
NAD83_U10",Sample Type,Standard Type,Date_Sampled,Sampler,Moisture,Angularity,Depth_cm,Horizon,Color,Site Vegetation,Texture,Description,Parent Sample Number
239238,ECL877,Eclipse,685742,5513605,REG,,06/26/2023,MP,Moist,Sub-rounded,30,B Horizon,brown,Forest,Sandy Silt,Sample moved 10m due to heavy dead fall ,
239239,ECL878,Eclipse,685807,5513591,REG,,06/26/2023,MP,Damp,Sub-rounded,20,B Horizon,brown,Forest,Silty Sand,Sample moved 10 m out of road ditch.,
239240,,,,,Control,Coarse Blank - Sand,,,,,,,,,,,
239241,ECL879,Eclipse,685849,5513601,REG,,07/05/2023,MP,Damp,Sub-rounded,20,B Horizon,brown,Forest,Sandy Silt,,
239242,ECL880,Eclipse,685899,5513599,REG,,06/26/2023,MP,Moist,Sub-angular,20,B Horizon,brown,Forest,Silty Sand,Close to a creek.,
239243,ECL881,Eclipse,685952,5513599,REG,,06/26/2023,MP,Dry,Sub-rounded,15,B Horizon,lt brown,Forest,Sandy Silt,,
239244,ECL882,Eclipse,685999,5513603,REG,,06/26/2023,MP,Moist,Sub-rounded,30,B Horizon,brown,Forest,Silt,"Organic rich, poor sample.",
239245,ECL883,Eclipse,686049,5513601,REG,,06/26/2023,MP,Dry,Sub-rounded,40,B Horizon,lt brown,Forest,Silt,Thick-O. Some organics mixed in.,
239246,ECL819,Eclipse,686002,5513300,REG,,06/26/2023,CV,Moist,Sub-angular,50,B Horizon,dk brown,Clear Cut,Silt,Near marsh and road,
239247,ECL818,Eclipse,685950,5513298,REG,,06/27/2023,CV,Dry,Sub-angular,20,B Horizon,brown,Clear Cut,Sandy Silt,,
239248,ECL817,Eclipse,685900,5513297,REG,,06/27/2023,CV,Damp,Sub-rounded,45,B Horizon,brown,Clear Cut,Silty Sand,,
239249,ECL816,Eclipse,685848,5513297,REG,,06/27/2023,CV,Dry,Sub-angular,20,B Horizon,brown,Clear Cut,Silty Sand,,
239250,,,,,Control,CDN-GEO-1901,,,,,,,,,,,
239251,Swa080,SOUTHWEST,678547,5500601,REG,,07/05/2023,EG,Damp,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,,
239252,Swa081,SOUTHWEST,678605,5500603,REG,,06/24/2023,EG,Damp,Sub-rounded,20,B Horizon,brown,Forest,Sandy Silt,,
239253,Swa082,SOUTHWEST,678646,5500605,REG,,06/24/2023,EG,Damp,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,,
239254,Swa083,SOUTHWEST,678699,5500603,REG,,06/24/2023,EG,Damp,Sub-angular,15,B Horizon,brown,Forest,Sandy Silt,,
239255,Swa084,SOUTHWEST,678746,5500605,REG,,06/24/2023,EG,Damp,Sub-angular,15,B Horizon,brown,Forest,Sandy Silt,,
239256,ECL925,Eclipse,686053,5513803,REG,,06/24/2023,KB,Damp,Sub-rounded,30,B Horizon,brown,Forest,Sandy Silt,,
239257,ECL924,Eclipse,685999,5513798,REG,,06/25/2023,KB,Damp,Sub-rounded,30,B Horizon,Light Brown-Grey,Forest,Sandy Silt,,
239258,ECL258,Eclipse,685954,5513801,REG,,06/25/2023,KB,Damp,Sub-rounded,30,B Horizon,lt brown,Forest,Sandy Silt,,
239259,ECL921,Eclipse,685848,5513805,REG,,06/25/2023,KB,Damp,Sub-rounded,40,B Horizon,dk brown,Forest,Sandy Silt,,
239260,,,,,Control,Coarse Blank - Sand,,,,,,,,,,,
239261,ECL919,Eclipse,685750,5513800,REG,,07/05/2023,KB,Damp,Sub-rounded,40,B Horizon,OB,Forest,Sandy Silt,,
239262,Ecl904,Eclipse,686052,5513701,REG,,06/25/2023,EG,Moist,Sub-rounded,25,B Horizon,dk brown,Forest,Sandy Silt,,
239263,Ecl903,Eclipse,686004,5513697,REG,,06/26/2023,EG,Moist,Sub-rounded,20,B Horizon,brown,Forest,Sandy Silt,,
239264,Ecl902,Eclipse,685951,5513702,REG,,06/26/2023,EG,Damp,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,,
239265,Ecl900,Eclipse,685851,5513693,REG,,06/26/2023,EG,Moist,Sub-rounded,30,B Horizon,brown,Forest,Sandy Silt,,
239266,Ecl897,Eclipse,685701,5513705,REG,,06/26/2023,EG,Moist,Sub-rounded,40,B Horizon,dk brown,Forest,Sandy Silt,Near road,
239267,Ecl896,Eclipse,685647,5513707,REG,,06/26/2023,EG,Dry,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,,
239268,Ecl895,Eclipse,685604,5513700,REG,,06/26/2023,EG,Damp,Sub-rounded,20,B Horizon,brown,Forest,Sandy Silt,,
239269,Ecl894,Eclipse,685550,5513698,REG,,06/26/2023,EG,Damp,Sub-rounded,20,B Horizon,brown,Forest,Pebbly Sand,,
239270,Ecl894,,,,DUP,,06/26/2023,,,,,,,,,,239269
239271,Ecl893,Eclipse,685497,5513697,REG,,06/26/2023,EG,Damp,Sub-rounded,25,B Horizon,brown,Forest,Silty Sand,,
239272,Ecl892,Eclipse,685456,5513698,REG,,06/26/2023,EG,Damp,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,,
239273,Ecl891,Eclipse,685402,5513697,REG,,06/26/2023,EG,Damp,Sub-angular,15,B Horizon,brown,Forest,Sandy Silt,,
239274,Ecl890,Eclipse,685354,5513698,REG,,06/26/2023,EG,Dry,Sub-angular,15,B Horizon,brown,Forest,Sandy Silt,,
239275,Ecl889,Eclipse,685306,5513700,REG,,06/26/2023,EG,Damp,Sub-rounded,25,B Horizon,brown,Forest,Silty Sand,,
239276,Ecl888,Eclipse,685257,5513712,REG,,06/26/2023,EG,Damp,Sub-angular,15,B Horizon,brown,Forest,Pebbly Sand,,
239277,Ecl887,Eclipse,685202,5513699,REG,,06/26/2023,EG,Damp,Angular,15,B Horizon,brown,Forest,Pebbly Sand,Near road,
239278,Ecl885,Eclipse,685102,5513697,REG,,06/26/2023,EG,Damp,Sub-rounded,25,B Horizon,brown,Forest,Sandy Silt,,
239279,Ecl884,Eclipse,685052,5513697,REG,,06/26/2023,EG,Dry,Sub-rounded,15,B Horizon,brown,Forest,Silty Sand,,
239280,,,,,Control,Coarse Blank - Sand,,,,,,,,,,,
239281,ECL862,Eclipse,686055,5513500,REG,,07/05/2023,KB,Damp,Sub-rounded,30,B Horizon,lt brown,Forest,Sandy Silt,,
239282,ECL861,Eclipse,686002,5513501,REG,,06/26/2023,KB,Damp,Sub-rounded,40,B Horizon,dk brown,Forest,Silty Sand,Some organics,
239283,ECL860,Eclipse,685953,5513500,REG,,06/26/2023,KB,Moist,Sub-rounded,10,B Horizon,Light Brown-Grey,Forest,Sandy Silt,,
239284,ECL859,Eclipse,685902,5513499,REG,,06/26/2023,KB,Damp,Sub-angular,10,B Horizon,OB,Forest,Sandy Silt,Near road,
239285,ECL858,Eclipse,685853,5513497,REG,,06/26/2023,KB,Damp,Sub-rounded,15,B Horizon,OB,Forest,Sandy Silt,,
239286,ECL857,Eclipse,685802,5513496,REG,,06/26/2023,KB,Moist,Sub-rounded,30,B Horizon,lt brown,Forest,Silty Sand,Some organics,
239287,ECL856,Eclipse,685753,5513499,REG,,06/26/2023,KB,Damp,Sub-rounded,20,B Horizon,lt brown,Forest,Sandy Silt,,
239288,ECL855,Eclipse,685696,5513497,REG,,06/26/2023,KB,Damp,Sub-angular,20,B Horizon,brown,Forest,Sandy Silt,,
239289,Ecl854,Eclipse,685653,5513504,REG,,06/26/2023,EG,Dry,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,,
239290,Ecl854,,,,DUP,,06/27/2023,,,,,,,,,,239289
239291,Ecl852,Eclipse,685603,5513498,REG,,06/27/2023,EG,Damp,Sub-rounded,20,B Horizon,brown,Forest,Silty Sand,,
239292,Ecl852,Eclipse,685549,5513503,REG,,06/27/2023,EG,Dry,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,,
239293,Ecl851,Eclipse,685500,5513504,REG,,06/27/2023,EG,Dry,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,,
239294,Ecl850,Eclipse,685452,5513503,REG,,06/27/2023,EG,Dry,Sub-angular,15,B Horizon,brown,Forest,Sandy Silt,,
239295,Ecl849,Eclipse,685397,5513501,REG,,06/27/2023,EG,Dry,Sub-rounded,10,B Horizon,brown,Forest,Sandy Silt,Near road,
239296,Ecl848,Eclipse,685347,5513497,REG,,06/27/2023,EG,Dry,Sub-rounded,20,B Horizon,brown,Forest,Sandy Silt,,
239297,Ecl847,Eclipse,685301,5513502,REG,,06/27/2023,EG,Dry,Sub-rounded,10,B Horizon,brown,Forest,Silty Sand,,
239298,Ecl846,Eclipse,685252,5513496,REG,,06/27/2023,EG,Dry,Sub-angular,25,B Horizon,brown,Forest,Sandy Silt,,
239299,Ecl845,Eclipse,685199,5513499,REG,,06/27/2023,EG,Dry,Sub-angular,20,B Horizon,brown,Forest,Sandy Silt,,
239300,,,,,Control,CDN-GEO-1901,,,,,,,,,,,
239301,ECL815,Eclipse,685806,5513300,REG,,07/05/2023,CV,Damp,Sub-angular,25,B Horizon,brown,Clear Cut,Silty Sand,,
239302,ECL814,Eclipse,685749,5513291,REG,,06/27/2023,CV,Damp,Angular,35,B Horizon,brown,Clear Cut,Silty Sand,Offset due to thick O layer,
239303,ECL813,Eclipse,685696,5513293,REG,,06/27/2023,CV,Dry,Sub-angular,25,B Horizon,brown,Clear Cut,Silty Sand,Near road,
239304,ECL812,Eclipse,685650,5513301,REG,,06/27/2023,CV,Dry,Sub-angular,20,B Horizon,brown,Clear Cut,Silty Sand,,
239305,ECL811,Eclipse,685603,5513300,REG,,06/27/2023,CV,Damp,Angular,15,B Horizon,brown,Clear Cut,Silty Sand,,
239306,ECL810,Eclipse,685549,5513300,REG,,06/27/2023,MP,Damp,Sub-angular,15,B Horizon,brown,Clear Cut,Sandy Silt,,
239307,ECL809,Eclipse,685499,5513300,REG,,06/27/2023,MP,Damp,Sub-angular,20,B Horizon,brown,Clear Cut,Sandy Silt,,
239308,ECL808,Eclipse,685451,5513301,REG,,06/27/2023,MP,Dry,Sub-rounded,20,B Horizon,brown,Clear Cut,Silt,,
239309,ECL807,Eclipse,685400,5513300,REG,,06/27/2023,MP,Dry,Sub-rounded,10,B Horizon,brown,Clear Cut,Sandy Silt,,
239310,ECL807,,,,DUP,,06/27/2023,,,,,,,,,,239309
239311,ECL806,Eclipse,685350,5513301,REG,,06/27/2023,MP,Damp,Sub-rounded,15,B Horizon,brown,Clear Cut,Sandy Silt,,
239312,ECL805,Eclipse,685301,5513300,REG,,06/27/2023,MP,Damp,Sub-angular,20,B Horizon,brown,Clear Cut,Silty Sand,,
239313,ECL804,Eclipse,685250,5513300,REG,,06/27/2023,MP,Damp,Sub-rounded,15,B Horizon,brown,Clear Cut,Sandy Silt,,
239314,ECL803,Eclipse,685200,5513300,REG,,06/27/2023,MP,Moist,Sub-rounded,15,B Horizon,brown,Clear Cut,Sandy Silt,,
239315,ECL802,Eclipse,685149,5513300,REG,,06/27/2023,MP,Moist,Sub-rounded,20,B Horizon,brown,Clear Cut,Sandy Silt,,
239316,ECL801,Eclipse,685098,5513298,REG,,06/27/2023,MP,Damp,Sub-rounded,20,B Horizon,brown,Clear Cut,Sandy Silt,,
239317,ECL800,Eclipse,685050,5513303,REG,,06/27/2023,MP,Dry,Sub-rounded,15,B Horizon,brown,Clear Cut,Silty Sand,,
239318,ECL768,Eclipse,685549,5513100,REG,,06/27/2023,MP,Dry,Sub-rounded,10,B Horizon,dk brown,Forest,Silty Sand,,
239319,ECL767,Eclipse,685502,5513100,REG,,06/28/2023,MP,Dry,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,,
239320,,,,,Control,Coarse Blank - Sand,,,,,,,,,,,
239321,ECL766,Eclipse,685449,5513101,REG,,07/05/2023,MP,Damp,Angular,15,B Horizon,brown,Forest,Silty Sand,,
239322,ECL765,Eclipse,685400,5513100,REG,,06/28/2023,MP,Damp,Sub-angular,15,B Horizon,brown,Forest,Sandy Silt,,
239323,ECL764,Eclipse,685349,5513100,REG,,06/28/2023,MP,Damp,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,,
239324,ECL763,Eclipse,685300,5513100,REG,,06/28/2023,MP,Moist,Sub-angular,20,B Horizon,brown,Forest,Sandy Silt,Close to a road.,
239325,ECL762,Eclipse,685250,5513102,REG,,06/28/2023,CV,Moist,Sub-rounded,40,B Horizon,brown,Clear Cut,Silt,,
239326,ECL761,Eclipse,685201,5513099,REG,,06/28/2023,CV,Damp,Sub-rounded,25,B Horizon,brown,Clear Cut,Sandy Silt,,
239327,ECL760,Eclipse,685151,5513101,REG,,06/28/2023,CV,Moist,Sub-angular,15,B Horizon,brown,Clear Cut,Sandy Silt,,
239328,ECL758,Eclipse,685050,5513100,REG,,06/28/2023,CV,Damp,Sub-angular,25,B Horizon,brown,Forest,Sandy Silt,,
239329,ECL684,Eclipse,685052,5512898,REG,,06/28/2023,CV,Moist,Sub-rounded,40,B Horizon,brown,Forest,Sandy Silt,,
239330,ECL684,,,,DUP,,06/28/2023,,,,,,,,,,239329
239331,ECL685,Eclipse,685099,5512901,REG,,06/28/2023,CV,Damp,Sub-angular,20,B Horizon,brown,Forest,Sandy Silt,,
239332,ECL686,Eclipse,685151,5512897,REG,,06/28/2023,CV,Dry,Sub-rounded,15,B Horizon,beige,Forest,Sandy Silt,,
239333,ECL687,Eclipse,685201,5512900,REG,,06/28/2023,CV,Moist,Sub-angular,15,B Horizon,brown,Forest,Silty Sand,,
239334,ECL688,Eclipse,685249,5512900,REG,,06/28/2023,CV,Moist,Sub-rounded,20,B Horizon,brown,Clear Cut,Sandy Silt,,
239335,ECL689,Eclipse,685298,5512901,REG,,06/28/2023,CV,Moist,Sub-rounded,35,B Horizon,brown,Clear Cut,Sandy Silt,,
239336,ECL690,Eclipse,685350,5512900,REG,,06/28/2023,MP,Damp,Sub-rounded,20,B Horizon,brown,Clear Cut,Sandy Silt,,
239337,ECL691,Eclipse,685401,5512900,REG,,06/29/2023,MP,Damp,Sub-rounded,15,B Horizon,brown,Clear Cut,Silt,,
239338,ECL692,Eclipse,685447,5512894,REG,,06/29/2023,MP,Damp,Sub-rounded,15,B Horizon,brown,Clear Cut,Sandy Silt,Sample moved 7 m due to boggy ground.,
239339,ECL693,Eclipse,685501,5512900,REG,,06/29/2023,MP,Damp,Sub-angular,15,B Horizon,brown,Clear Cut,Sandy Silt,,
239340,,,,,Control,Coarse Blank - Sand,,,,,,,,,,,
239341,ECL694,Eclipse,685548,5512900,REG,,07/05/2023,MP,Dry,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,,
239342,ECL695,Eclipse,685600,5512901,REG,,06/29/2023,MP,Dry,Sub-angular,15,B Horizon,brown,Forest,Sandy Silt,,
239343,ECL696,Eclipse,685651,5512902,REG,,06/29/2023,MP,Dry,Sub-angular,15,B Horizon,brown,Forest,Sandy Silt,,
239344,ECL697,Eclipse,685694,5512893,REG,,06/29/2023,MP,Dry,Sub-angular,10,B Horizon,brown,Forest,Sandy Silt,Sample moved 8 m due to proximity to old road.,
239345,ECL698,Eclipse,685753,5512905,REG,,06/29/2023,MP,Dry,Sub-angular,20,B Horizon,brown,Forest,Silty Sand,Sample moved 5 m due to subcrop.,
239346,ECL699,Eclipse,685802,5512901,REG,,06/29/2023,MP,Dry,Sub-angular,10,B Horizon,brown,Forest,Sandy Silt,Close to road.,
239347,ECL700,Eclipse,685851,5512902,REG,,06/29/2023,MP,Moist,Sub-angular,15,B Horizon,brown,Clear Cut,Sandy Silt,,
239348,ECL701,Eclipse,685901,5512902,REG,,06/29/2023,MP,Damp,Sub-rounded,15,B Horizon,brown,Clear Cut,Sandy Silt,,
239349,ECL702,Eclipse,685948,5512901,REG,,06/29/2023,MP,Damp,Sub-rounded,20,B Horizon,brown,Clear Cut,Sandy Silt,,
239350,,,,,Control,CDN-GEO-1901,,,,,,,,,,,
239351,Ecl725,Eclipse,685251,5512995,REG,,07/05/2023,EG,Damp,Sub-rounded,20,B Horizon,brown,Forest,Sandy Silt,,
239352,Ecl726,Eclipse,685303,5512999,REG,,06/28/2023,EG,Damp,Sub-rounded,20,B Horizon,brown,Forest,Silty Sand,,
239353,ECL727,Eclipse,685350,5512999,REG,,06/28/2023,EG,Damp,Sub-rounded,30,B Horizon,brown,Forest,Sandy Silt,,
239354,ECL728,Eclipse,685400,5513000,REG,,06/29/2023,EG,Damp,Sub-rounded,30,B Horizon,brown,Forest,Sandy Silt,,
239355,ECL729,Eclipse,685450,5512999,REG,,06/29/2023,EG,Damp,Sub-rounded,30,B Horizon,brown,Forest,Sandy Silt,,
239356,ECL730,Eclipse,685496,5513003,REG,,06/29/2023,EG,Damp,Sub-rounded,30,B Horizon,lt brown,Forest,Sandy Silt,,
239357,ECL731,Eclipse,685549,5512998,REG,,06/29/2023,KB,Damp,Sub-rounded,30,B Horizon,brown,Forest,Sandy Silt,,
239358,ECL732,Eclipse,685599,5512998,REG,,06/29/2023,KB,Damp,Sub-angular,30,B Horizon,brown,Forest,Sandy Silt,,
239359,ECL733,Eclipse,685648,5513003,REG,,06/29/2023,KB,Damp,Sub-angular,10,B Horizon,lt brown,Forest,Sandy Silt,,
239360,,,,,Control,Coarse Blank - Sand,,,,,,,,,,,
239361,ECL734,Eclipse,685698,5513004,REG,,07/05/2023,KB,Damp,Sub-angular,30,B Horizon,brown,Forest,Sandy Silt,,
239362,ECL735,Eclipse,685749,5512999,REG,,06/29/2023,KB,Damp,Sub-rounded,30,B Horizon,lt brown,Forest,Sandy Silt,,
239363,ECL736,Eclipse,685804,5512998,REG,,06/29/2023,KB,Damp,Sub-rounded,20,B Horizon,lt brown,Forest,Sandy Silt,,
239364,ECL737,Eclipse,685847,5513002,REG,,06/29/2023,KB,Damp,Sub-rounded,20,B Horizon,lt brown,Forest,Sandy Silt,,
239365,ECL738,Eclipse,685901,5512996,REG,,06/29/2023,KB,Damp,Sub-rounded,20,B Horizon,brown,Forest,Sandy Silt,,
239366,ECL739,Eclipse,685956,5512997,REG,,06/29/2023,KB,Damp,Sub-rounded,10,B Horizon,lt brown,Forest,Sandy Silt,,
239367,ECL740,Eclipse,686000,5512997,REG,,06/29/2023,KB,Damp,Sub-rounded,20,B Horizon,dk brown,Forest,Sandy Silt,Some organics,
239368,ECL741,Eclipse,686050,5512996,REG,,06/29/2023,KB,Damp,Sub-rounded,20,B Horizon,dk brown,Forest,Sandy Silt,Some organics,
239369,ECL742,Eclipse,686101,5512997,REG,,06/29/2023,KB,Damp,Sub-rounded,30,B Horizon,brown,Forest,Sandy Silt,,
239370,ECL742,,,,DUP,,06/29/2023,,,,,,,,,,239369
239371,ECL743,Eclipse,686149,5512999,REG,,06/29/2023,KB,Damp,Sub-rounded,10,B Horizon,lt brown,Forest,Sandy Silt,,
239372,ECL744,Eclipse,686197,5512997,REG,,06/29/2023,KN,Damp,Sub-rounded,20,B Horizon,lt brown,Forest,Sandy Silt,,
239373,ECL745,Eclipse,686250,5512998,REG,,06/30/2023,KN,Damp,Sub-angular,15,B Horizon,OB,Forest,Sandy Silt,,
239374,ECL756,Eclipse,686297,5513002,REG,,06/30/2023,KN,Damp,Sub-rounded,30,B Horizon,lt brown,Forest,Sandy Silt,,
239375,239375,Eclipse,686348,5512999,REG,,06/30/2023,KN,Damp,Sub-rounded,30,B Horizon,OB,Forest,Sandy Silt,,
239376,Ecl749,Eclipse,686446,5513000,REG,,06/30/2023,KN,Damp,Sub-rounded,30,B Horizon,brown,Forest,Sandy Silt,,
239377,ECL750,Eclipse,686500,5513000,REG,,06/30/2023,KN,Damp,Sub-angular,30,B Horizon,brown,Forest,Sandy Silt,,
239378,ECL751,Eclipse,686546,5513000,REG,,06/30/2023,KN,Damp,Sub-angular,25,B Horizon,red-brown,Forest,Sandy Silt,,
239379,ECL752,Eclipse,686599,5512997,REG,,06/30/2023,KN,Damp,Sub-rounded,30,B Horizon,OB,Forest,Sandy Silt,,
239380,,,,,Control,Coarse Blank - Sand,,,,,,,,,,,
239381,ECL753,Eclipse,686646,5512998,REG,,07/05/2023,KN,Damp,Sub-rounded,20,B Horizon,OB,Forest,Silty Sand,,
239382,ECL754,Eclipse,686703,5512997,REG,,06/30/2023,KN,Dry,Sub-angular,20,B Horizon,OB,Forest,Sandy Silt,,
239383,Ecl755,Eclipse,686749,5513006,REG,,06/30/2023,EG,Damp,Sub-angular,15,B Horizon,brown,Clear Cut,Sandy Silt,,
239384,Ecl756,Eclipse,686793,5513000,REG,,06/30/2023,EG,Dry,Sub-rounded,20,B Horizon,lt brown,Forest,Sandy Silt,,
239385,Ecl683,Eclipse,686850,5512802,REG,,06/30/2023,EG,Dry,Sub-rounded,10,B Horizon,Light Brown-Grey,Clear Cut,Pebbly Sand,Recently clear-cut. Very disturbed ,
239386,Ecl682,Eclipse,686797,5512801,REG,,06/30/2023,EG,Damp,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,,
239387,Ecl681,Eclipse,686748,5512803,REG,,06/30/2023,EG,Damp,Sub-rounded,10,B Horizon,brown,Forest,Silty Sand,,
239388,Ecl680,Eclipse,686700,5512799,REG,,06/30/2023,EG,Damp,Sub-angular,20,B Horizon,brown,Forest,Silty Sand,,
239389,Ecl697,Eclipse,686650,5512804,REG,,06/30/2023,EG,Damp,Sub-rounded,20,B Horizon,brown,Clear Cut,Sandy Silt,,
239390,Ecl679,,,,DUP,,06/30/2023,,,,,,,,,,239389
239391,Ecl678,Eclipse,686602,5512802,REG,,06/30/2023,EG,Damp,Sub-rounded,20,B Horizon,brown,Clear Cut,Silty Sand,,
239392,ECL677,Eclipse,686549,5512798,REG,,06/30/2023,EG,Damp,Sub-angular,30,B Horizon,OB,Forest,Sandy Silt,,
239393,ECL676,Eclipse,686502,5512796,REG,,07/01/2023,KN,Moist,Sub-rounded,10,B Horizon,brown,Forest,Silty Sand,Recently overturned/disturbed by logging,
239394,ECL675,Eclipse,686451,5512795,REG,,07/01/2023,KN,Damp,Sub-angular,20,B Horizon,brown,Forest,Sandy Silt,,
239395,ECL674,Eclipse,686402,5512800,REG,,07/01/2023,KN,Damp,Sub-rounded,20,B Horizon,red-brown,Forest,Sandy Silt,Disturbed area,
239396,ECL673,Eclipse,686350,5512803,REG,,07/01/2023,KN,Wet,Sub-rounded,40,B Horizon,dk brown,Forest,Sandy Silt,Poor sample from bog,
239397,ECL672,Eclipse,686302,5512798,REG,,07/01/2023,KN,Damp,Sub-rounded,30,B Horizon,lt brown,Forest,Sandy Silt,,
239398,ECL671,Eclipse,686251,5512799,REG,,07/01/2023,KN,Damp,Sub-rounded,20,B Horizon,OB,Forest,Silty Sand,,
239399,ECL670,Eclipse,686204,5512800,REG,,07/01/2023,KN,Damp,Sub-rounded,10,B Horizon,green-grey,Forest,Sandy Silt,,
239400,,,,,Control,CDN-GEO-1901,,,,,,,,,,,
239401,ECL703,Eclipse,686001,5512901,REG,,07/05/2023,MP,Damp,Sub-rounded,15,B Horizon,brown,Clear Cut,Sandy Silt,"Thick organic layer, som O mixed in.",
239402,ECL704,Eclipse,686053,5512897,REG,,06/29/2023,MP,Damp,Sub-rounded,15,B Horizon,brown,Clear Cut,Sandy Silt,Some organics mixed in.,
239403,ECL705,Eclipse,686101,5512901,REG,,06/29/2023,MP,Dry,Sub-rounded,20,B Horizon,brown,Clear Cut,Sandy Silt,,
239404,ECL706,Eclipse,686151,5512900,REG,,06/29/2023,MP,Dry,Sub-angular,20,B Horizon,lt brown,Clear Cut,Silt,,
239405,ECL707,Eclipse,686201,5512900,REG,,06/29/2023,MP,Damp,Sub-angular,20,B Horizon,brown,Clear Cut,Sandy Silt,,
239406,ECL708,Eclipse,686251,5512899,REG,,06/29/2023,MP,Damp,Sub-angular,10,B Horizon,brown,Clear Cut,Sandy Silt,,
239407,ECL709,Eclipse,686301,5512900,REG,,06/29/2023,MP,Dry,Sub-rounded,15,B Horizon,brown,Clear Cut,Sandy Silt,,
239408,ECL710,Eclipse,686352,5512901,REG,,06/29/2023,MP,Damp,Sub-angular,20,B Horizon,brown,Clear Cut,Silt,,
239409,ECL711,Eclipse,686410,5512901,REG,,06/29/2023,MP,Damp,Sub-angular,20,B Horizon,brown,Clear Cut,Sandy Silt,,
239410,ECL711,,,,DUP,,06/29/2023,,,,,,,,,,239409
239411,ECL712,Eclipse,686451,5512901,REG,,06/29/2023,MP,Damp,Sub-rounded,15,B Horizon,brown,Clear Cut,Sandy Silt,,
239412,ECL713,Eclipse,686502,5512901,REG,,06/29/2023,MP,Dry,Sub-angular,20,B Horizon,brown,Forest,Silty Sand,,
239413,ECL714,Eclipse,686550,5512900,REG,,06/29/2023,MP,Dry,Sub-angular,20,B Horizon,brown,Clear Cut,Silty Sand,,
239414,ECL715,Eclipse,686602,5512900,REG,,06/29/2023,MP,Dry,Sub-rounded,30,B Horizon,brown,Clear Cut,Silty Sand,,
239415,ECL716,Eclipse,686652,5512900,REG,,06/29/2023,MP,Dry,Sub-angular,20,B Horizon,brown,Clear Cut,Silty Sand,,
239416,ECL717,Eclipse,686701,5512900,REG,,06/29/2023,MP,Dry,Sub-angular,20,B Horizon,brown,Clear Cut,Silty Sand,,
239417,ECL718,Eclipse,686754,5512900,REG,,06/29/2023,MP,Damp,Sub-angular,15,B Horizon,brown,Clear Cut,Silty Sand,Fresh cut block (not on satellite img).,
239418,ECL719,Eclipse,686801,5512900,REG,,06/29/2023,MP,Damp,Sub-angular,10,B Horizon,brown,Clear Cut,Silty Sand,Fresh cut block.,
239419,ECL720,Eclipse,686848,5512899,REG,,06/29/2023,MP,Moist,Sub-angular,10,B Horizon,brown,Clear Cut,Silty Sand,Fresh cut block.,
239420,,,,,Control,Coarse Blank - Sand,,,,,,,,,,,
239421,ECL661,Eclipse,685750,5512795,REG,,07/05/2023,MP,Damp,Sub-rounded,30,B Horizon,brown,Forest,Sandy Silt,,
239422,ECL660,Eclipse,685700,5512799,REG,,06/30/2023,MP,Dry,Sub-angular,15,B Horizon,lt brown,Forest,Silty Sand,,
239423,ECL659,Eclipse,685650,5512801,REG,,06/30/2023,MP,Dry,Sub-rounded,20,B Horizon,brown,Forest,Sandy Silt,,
239424,ECL659,Eclipse,685600,5512800,REG,,06/30/2023,MP,Damp,Sub-angular,20,B Horizon,brown,Forest,Sandy Silt,,
239425,ECL657,Eclipse,685548,5512801,REG,,06/30/2023,MP,Dry,Sub-angular,15,B Horizon,brown,Forest,Sandy Silt,,
239426,ECL656,Eclipse,685501,5512796,REG,,06/30/2023,MP,Dry,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,,
239427,ECL655,Eclipse,685448,5512798,REG,,06/30/2023,MP,Damp,Sub-rounded,20,B Horizon,brown,Clear Cut,Sandy Silt,,
239428,ECL654,Eclipse,685399,5512799,REG,,06/30/2023,MP,Damp,Sub-rounded,15,B Horizon,brown,Clear Cut,Sandy Silt,,
239429,ECL653,Eclipse,685348,5512802,REG,,06/30/2023,MP,Damp,Sub-rounded,20,B Horizon,brown,Clear Cut,Sandy Silt,,
239430,ECL653,,,,DUP,,06/30/2023,,,,,,,,,,239429
239431,ECL652,Eclipse,685302,5512798,REG,,06/30/2023,MP,Dry,Sub-angular,20,B Horizon,lt brown,Clear Cut,Silty Sand,,
239432,ECL651,Eclipse,685247,5512801,REG,,06/30/2023,MP,Dry,Sub-rounded,15,B Horizon,brown,Clear Cut,Sandy Silt,,
239433,ECL650,Eclipse,685200,5512800,REG,,06/30/2023,MP,Dry,Sub-angular,20,B Horizon,brown,Forest,Silty Sand,,
239434,ECL649,Eclipse,685151,5512800,REG,,06/30/2023,MP,Damp,Sub-angular,15,B Horizon,brown,Forest,Sandy Silt,,
